"大学の所在地","平成27年(2015年)計","平成27年(2015年)男","平成27年(2015年)女","平成26年(2014年)","平成25年(2013年)","平成24年(2012年)","平成23年(2011年)","平成22年(2010年)","平成21年(2009年)","平成20年(2008年)","平成19年(2007年)","平成18年(2006年)","平成17年(2005年)"
"計","4280.0","2354.0","1926.0","4454.0","4486.0","4473.0","4581.0","4707.0","4856.0","4825.0","4976.0","4952.0","4964.0"
"北海道","36.0","25.0","11.0","36.0","33.0","32.0","45.0","33.0","28.0","27.0","26.0","25.0","37.0"
"青森","4.0","4.0","0.0","1.0","2.0","0.0","1.0","1.0","0.0","1.0","2.0","5.0","3.0"
"岩手","1.0","0.0","1.0","0.0","1.0","2.0","1.0","1.0","2.0","1.0","1.0","2.0","0.0"
"宮城","4.0","3.0","1.0","4.0","3.0","2.0","2.0","7.0","6.0","11.0","11.0","4.0","13.0"
"秋田","1.0","1.0","0.0","4.0","5.0","1.0","1.0","2.0","1.0","0.0","4.0","5.0","2.0"
"山形","1.0","0.0","1.0","2.0","0.0","1.0","2.0","1.0","1.0","1.0","1.0","2.0","3.0"
"福島","3.0","3.0","0.0","2.0","0.0","1.0","2.0","3.0","1.0","5.0","5.0","3.0","3.0"
"茨城","15.0","11.0","4.0","23.0","18.0","14.0","19.0","21.0","14.0","16.0","15.0","17.0","20.0"
"栃木","6.0","2.0","4.0","5.0","4.0","7.0","3.0","3.0","5.0","4.0","4.0","10.0","5.0"
"群馬","4.0","3.0","1.0","2.0","7.0","11.0","1.0","9.0","7.0","7.0","6.0","6.0","2.0"
"埼玉","21.0","13.0","8.0","20.0","26.0","26.0","27.0","28.0","22.0","41.0","39.0","52.0","41.0"
"千葉","17.0","12.0","5.0","20.0","22.0","18.0","25.0","37.0","32.0","27.0","25.0","31.0","30.0"
"東京","177.0","106.0","71.0","200.0","206.0","201.0","228.0","212.0","253.0","252.0","263.0","250.0","256.0"
"神奈川","52.0","29.0","23.0","73.0","65.0","60.0","69.0","95.0","102.0","76.0","98.0","74.0","92.0"
"新潟","4.0","3.0","1.0","4.0","4.0","0.0","2.0","0.0","3.0","3.0","4.0","2.0","1.0"
"富山","11.0","8.0","3.0","11.0","3.0","5.0","5.0","3.0","4.0","7.0","7.0","5.0","3.0"
"石川","28.0","19.0","9.0","22.0","25.0","24.0","20.0","39.0","20.0","32.0","34.0","38.0","39.0"
"福井","6.0","5.0","1.0","21.0","10.0","12.0","17.0","10.0","13.0","15.0","13.0","23.0","24.0"
"山梨","10.0","5.0","5.0","7.0","15.0","11.0","4.0","7.0","13.0","18.0","13.0","15.0","19.0"
"長野","15.0","10.0","5.0","17.0","17.0","12.0","19.0","35.0","16.0","22.0","18.0","26.0","14.0"
"岐阜","23.0","14.0","9.0","19.0","13.0","16.0","18.0","18.0","23.0","33.0","40.0","32.0","32.0"
"静岡","31.0","20.0","11.0","30.0","34.0","30.0","31.0","27.0","19.0","20.0","23.0","33.0","32.0"
"愛知","73.0","48.0","25.0","90.0","83.0","71.0","90.0","85.0","113.0","99.0","112.0","126.0","125.0"
"三重","34.0","20.0","14.0","23.0","34.0","35.0","40.0","31.0","38.0","45.0","34.0","47.0","55.0"
"滋賀","84.0","58.0","26.0","96.0","94.0","85.0","94.0","93.0","85.0","92.0","83.0","115.0","102.0"
"京都","515.0","263.0","252.0","495.0","545.0","548.0","556.0","566.0","543.0","567.0","583.0","606.0","615.0"
"大阪","1796.0","1030.0","766.0","1835.0","1855.0","1844.0","1950.0","1931.0","2008.0","1954.0","2005.0","1910.0","1853.0"
"兵庫","374.0","132.0","242.0","387.0","404.0","418.0","443.0","413.0","479.0","497.0","502.0","499.0","497.0"
"奈良","106.0","46.0","60.0","124.0","134.0","138.0","130.0","141.0","147.0","128.0","151.0","155.0","200.0"
"和歌山","447.0","230.0","217.0","479.0","473.0","492.0","439.0","519.0","557.0","520.0","518.0","512.0","459.0"
"鳥取","27.0","13.0","14.0","38.0","22.0","28.0","13.0","18.0","19.0","7.0","17.0","19.0","17.0"
"島根","17.0","13.0","4.0","18.0","10.0","9.0","11.0","12.0","8.0","14.0","11.0","12.0","15.0"
"岡山","70.0","43.0","27.0","73.0","64.0","66.0","56.0","53.0","53.0","56.0","59.0","58.0","79.0"
"広島","50.0","32.0","18.0","78.0","55.0","51.0","52.0","57.0","49.0","50.0","51.0","51.0","64.0"
"山口","28.0","14.0","14.0","25.0","22.0","15.0","20.0","23.0","14.0","17.0","21.0","14.0","17.0"
"徳島","52.0","33.0","19.0","51.0","45.0","52.0","47.0","70.0","48.0","50.0","55.0","51.0","66.0"
"香川","14.0","9.0","5.0","16.0","13.0","27.0","12.0","13.0","12.0","15.0","11.0","21.0","18.0"
"愛媛","15.0","9.0","6.0","6.0","15.0","14.0","10.0","12.0","22.0","14.0","13.0","16.0","7.0"
"高知","37.0","15.0","22.0","32.0","31.0","39.0","25.0","22.0","31.0","23.0","34.0","31.0","16.0"
"福岡","35.0","26.0","9.0","29.0","42.0","25.0","22.0","24.0","17.0","19.0","29.0","19.0","42.0"
"佐賀","2.0","1.0","1.0","1.0","2.0","0.0","1.0","1.0","2.0","2.0","5.0","0.0","2.0"
"長崎","9.0","8.0","1.0","5.0","6.0","4.0","5.0","4.0","4.0","5.0","3.0","0.0","3.0"
"熊本","3.0","3.0","0.0","7.0","4.0","6.0","2.0","4.0","4.0","1.0","4.0","4.0","2.0"
"大分","4.0","3.0","1.0","3.0","8.0","6.0","4.0","5.0","6.0","11.0","7.0","9.0","9.0"
"宮崎","3.0","1.0","2.0","9.0","2.0","7.0","7.0","4.0","2.0","3.0","4.0","2.0","10.0"
"鹿児島","9.0","3.0","6.0","8.0","4.0","4.0","8.0","7.0","7.0","10.0","8.0","8.0","16.0"
"沖縄","6.0","5.0","1.0","3.0","6.0","3.0","2.0","7.0","3.0","7.0","4.0","7.0","4.0"
"(＊参考)大学進学者","3731.0","2012.0","1719.0","3837.0","3860.0","3817.0","4041.0","4078.0","4248.0","4200.0","4334.0","4247.0","4217.0"
